Size, Time(ms)
1000, 0.001459900000000014
2000, 0.0026795000000000013
3000, 0.003648299999999993
4000, 0.004867300000000019
5000, 0.006660299999999952
6000, 0.007681600000000011
7000, 0.00917030000000002
8000, 0.011435300000000037
9000, 0.012452899999999989
10000, 0.01225160000000003
11000, 0.013446000000000013
12000, 0.015096500000000013
13000, 0.01626329999999998
14000, 0.018649199999999977
15000, 0.0370586
16000, 0.042308100000000015
17000, 0.028392399999999984
18000, 0.02269939999999998
19000, 0.03157810000000005
20000, 0.031128099999999992
21000, 0.02795969999999992
22000, 0.031002799999999997
23000, 0.02914490000000003
24000, 0.03947449999999997
25000, 0.0383888
26000, 0.0449577000000001
27000, 0.03694379999999997
28000, 0.06727519999999998
29000, 0.04646760000000005
30000, 0.05122229999999994
31000, 0.05041339999999983
32000, 0.04748069999999993
33000, 0.05122490000000002
34000, 0.05120299999999989
35000, 0.046504700000000065
36000, 0.0595022999999999
37000, 0.047210900000000056
38000, 0.04794380000000009
39000, 0.049878700000000054
40000, 0.06738859999999991
41000, 0.058900399999999964
42000, 0.05817629999999996
43000, 0.06095049999999991
44000, 0.06647500000000006
45000, 0.07397949999999986
46000, 0.06363589999999997
47000, 0.06836710000000012
48000, 0.0751697
49000, 0.07964279999999979
50000, 0.07661020000000018
51000, 0.07856499999999977
52000, 0.0851181999999997
53000, 0.08692720000000032
54000, 0.07320640000000012
55000, 0.08103539999999976
56000, 0.0793493999999999
57000, 0.0794324999999998
58000, 0.09233029999999998
59000, 0.09152049999999967
60000, 0.09145940000000019
61000, 0.09308229999999984
62000, 0.10826149999999979
63000, 0.10102149999999988
64000, 0.15324600000000022
65000, 0.11485779999999979
66000, 0.09759420000000008
67000, 0.16147029999999996
68000, 0.11503309999999978
69000, 0.10022909999999996
70000, 0.11572889999999969
71000, 0.11762739999999994
72000, 0.11553750000000029
73000, 0.1156208999999997
74000, 0.10708550000000017
75000, 0.12929680000000054
76000, 0.13842510000000008
77000, 0.11941649999999981
78000, 0.11365840000000027
79000, 0.13654050000000062
80000, 0.1363614000000002
81000, 0.1681916000000001
82000, 0.1455358999999996
83000, 0.16700940000000042
84000, 0.14467099999999977
85000, 0.12514260000000021
86000, 0.11904449999999933
87000, 0.14129669999999983
88000, 0.1608401000000006
89000, 0.12271570000000054
90000, 0.15084359999999997
91000, 0.14325860000000024
92000, 0.1456881000000001
93000, 0.1358838999999996
94000, 0.14372579999999946
95000, 0.1581009
96000, 0.1480877000000005
97000, 0.21749190000000063
98000, 0.15543399999999963
99000, 0.2371875999999986
100000, 0.16293179999999907
