Size, Time(ms)
1000, 0.010457600000000511
2000, 0.026174600000000936
3000, 0.0480078000000006
4000, 0.051612000000000435
5000, 0.07241490000000006
6000, 0.08466899999999988
7000, 0.11625510000000006
8000, 0.14443500000000142
9000, 0.14847560000000115
10000, 0.1657251000000013
11000, 0.17961899999999886
12000, 0.2155219000000006
13000, 0.23332079999999955
14000, 0.27381410000000095
15000, 0.2622953999999993
16000, 0.28790919999999964
17000, 0.3340979000000015
18000, 0.40743420000000086
19000, 0.3991025999999991
20000, 0.3694400000000009
21000, 0.4185080999999986
22000, 0.515747300000001
23000, 0.4871458999999998
24000, 0.45079769999999897
25000, 0.491594000000001
26000, 0.47168659999999996
27000, 0.5400963999999995
28000, 0.5540451000000015
29000, 0.6266561000000017
30000, 0.6981074000000014
31000, 0.6204315000000022
32000, 0.612797999999998
33000, 0.713918900000003
34000, 0.6919684000000004
35000, 0.6852866999999989
36000, 0.8408258999999987
37000, 0.8662919000000002
38000, 0.7301362000000005
39000, 0.9238682000000011
40000, 0.807984900000001
41000, 0.8591626000000012
42000, 0.8673266999999996
43000, 0.9517564000000007
44000, 0.9412246999999994
45000, 0.9127507000000001
46000, 1.0389476999999978
47000, 1.0130172000000002
48000, 1.0084519999999983
49000, 1.0067829999999987
50000, 1.076039399999999
51000, 1.1936798999999993
52000, 1.1278833999999947
53000, 1.1989812999999998
54000, 1.180811900000002
55000, 1.1921904000000012
56000, 1.2220207999999957
57000, 1.2261993999999987
58000, 1.3458009000000004
59000, 1.2813754999999958
60000, 1.2818148999999934
61000, 1.4246677999999946
62000, 1.4611254000000002
63000, 1.3394343000000006
64000, 1.449306
65000, 1.5362706000000017
66000, 1.4015415999999945
67000, 1.6377055000000027
68000, 1.8558318000000043
69000, 1.9033422999999985
70000, 1.9486387000000036
71000, 1.5741458000000037
72000, 1.589239599999999
73000, 1.6171480000000003
74000, 1.8463078999999993
75000, 2.280526000000009
76000, 2.1352037000000053
77000, 1.9408360999999985
78000, 1.8406722999999943
79000, 1.9333718000000033
80000, 1.8442871000000025
81000, 1.8396800999999954
82000, 1.8506533999999988
83000, 1.967950700000003
84000, 1.879922399999998
85000, 1.9635557000000006
86000, 1.9987894000000068
87000, 2.102355000000003
88000, 2.0018242999999956
89000, 2.1557194000000095
90000, 2.0797675999999967
91000, 2.4164293999999984
92000, 2.1932319999999947
93000, 2.4880613999999923
94000, 2.2588209999999975
95000, 2.317211999999998
96000, 2.406056899999996
97000, 2.444372699999988
98000, 2.3389411999999936
99000, 2.4311192999999918
100000, 2.4915977
